Call#,Author,Title,Holds,Frozen Holds,Holdable Items,Non-Holdable Items,Pending Orders,Ratio,Bib#,Pub Year,Date Billed,YTD Circ,LY Circ
J FICTION STEAD,"Stead, Philip Christian, author, illustrator. https://id.oclc.org/worldcat/entity/E39PBJh4r3yqtGPgPkCTkxtkDq http://id.loc.gov/rwo/agents/no2009154481","A potion, a powder, a little bit of magic : or, like lightning in an umbrella storm, a story out of order",2,0,1,0,0,2,b3480600a,2026,n/a,n/a,n/a
J FICTION WOOD BAD BK. 1,"Wood, Maryrose, author. https://id.oclc.org/worldcat/entity/E39PCjFXdDwVr4TqVKPrGKD8qP",Bad badger : a love story,1,0,0,0,0,1,b3470173a,2025,2026-08-03,0,2
J GN CABOT PRINCESS V. 1,"Cabot, Meg, author. https://id.oclc.org/worldcat/entity/E39PBJtxdRxvBtW8KHG3Wj4wmd",Princess diaries : the graphic novel,2,1,1,0,0,2,b3481718a,2026,n/a,n/a,n/a
J GN CODY CAT NINJA V. 4,"Cody, Matthew, https://id.loc.gov/authorities/names/n2008066948 author.","Cat Ninja. 4, Welcome to the 'Burbs",2,0,1,2,0,2,b3360600a,2022,2026-01-10,0,3
J GN CODY CAT NINJA V. 4,"Cody, Matthew, https://id.loc.gov/authorities/names/n2008066948 author.","Cat Ninja. 4, Welcome to the 'Burbs",2,0,1,2,0,2,b3360600a,2022,2026-07-24,0,2
J GN CODY CAT NINJA V. 4,"Cody, Matthew, https://id.loc.gov/authorities/names/n2008066948 author.","Cat Ninja. 4, Welcome to the 'Burbs",2,0,1,2,0,2,b3360600a,2022,2026-04-17,0,2
J GN JAMIESON,"Jamieson, Victoria, http://id.loc.gov/authorities/names/n2007040983 author.",Roller girl,1,0,0,0,0,1,b1512029a,2015,2026-07-27,0,8
J GN OSBORNE FACT,"Laird, Jenny, 1969- adapter. https://id.oclc.org/worldcat/entity/E39PCjyHHbHhhydFWFpCYxB4HK",Magic tree house fact tracker graphic novel. Dinosaurs,1,0,0,0,0,1,b3471929a,2025,2026-06-20,0,8
J GN SMITH BAND V. 2,"Smith, Brian (Comic book writer) https://id.loc.gov/authorities/names/no2016168865 https://id.oclc.org/worldcat/entity/E39PCjCPG7Chg7vwDCvjxm3d43., author, artist.","Band camp! 2, Out of sync",1,0,0,0,0,1,b3466307a,2024,2026-07-20,0,5
J P AMERICAN,,American Girl 5-minute stories,2,0,1,0,0,2,b3478985a,2025,n/a,n/a,n/a
